timestamp,endpoint,operation,ano_inicio,ano_fim,mes_inicio,mes_fim,tempo_total_segundos,tempo_scraping_segundos,tempo_processamento_segundos,numero_registros,sucesso,erro_descricao,id_consulta,thread_id,Biblioteca
2025-07-08T21:39:36.845128,/consultar,consulta_assincrona_ano,2004,2004,JANEIRO,DEZEMBRO,22.40150237083435,22.40150237083435,0.0,84,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:39:59.099964,/consultar,consulta_assincrona_ano,2005,2005,JANEIRO,DEZEMBRO,22.251713514328003,22.251713514328003,0.0,89,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:40:21.882482,/consultar,consulta_assincrona_ano,2006,2006,JANEIRO,DEZEMBRO,22.778250694274902,22.778250694274902,0.0,79,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:40:44.929405,/consultar,consulta_assincrona_ano,2007,2007,JANEIRO,DEZEMBRO,23.043893337249756,23.043893337249756,0.0,73,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:41:06.332213,/consultar,consulta_assincrona_ano,2008,2008,JANEIRO,DEZEMBRO,21.39923357963562,21.39923357963562,0.0,82,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:41:29.538467,/consultar,consulta_assincrona_ano,2009,2009,JANEIRO,DEZEMBRO,23.203213691711426,23.203213691711426,0.0,83,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:41:52.206236,/consultar,consulta_assincrona_ano,2010,2010,JANEIRO,DEZEMBRO,22.664780378341675,22.664780378341675,0.0,78,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:42:18.750449,/consultar,consulta_assincrona_ano,2011,2011,JANEIRO,DEZEMBRO,26.540621280670166,26.540621280670166,0.0,79,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:42:40.454088,/consultar,consulta_assincrona_ano,2012,2012,JANEIRO,DEZEMBRO,21.69992971420288,21.69992971420288,0.0,92,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:43:02.162647,/consultar,consulta_assincrona_ano,2013,2013,JANEIRO,DEZEMBRO,21.705556869506836,21.705556869506836,0.0,103,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:43:25.850071,/consultar,consulta_assincrona_ano,2014,2014,JANEIRO,DEZEMBRO,23.68441081047058,23.68441081047058,0.0,99,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:43:48.447866,/consultar,consulta_assincrona_ano,2015,2015,JANEIRO,DEZEMBRO,22.594664335250854,22.594664335250854,0.0,89,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:44:10.262556,/consultar,consulta_assincrona_ano,2016,2016,JANEIRO,DEZEMBRO,21.811739206314087,21.811739206314087,0.0,70,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:44:32.347350,/consultar,consulta_assincrona_ano,2017,2017,JANEIRO,DEZEMBRO,22.081828832626343,22.081828832626343,0.0,68,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:44:54.665931,/consultar,consulta_assincrona_ano,2018,2018,JANEIRO,DEZEMBRO,22.314944982528687,22.314944982528687,0.0,67,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:45:16.335052,/consultar,consulta_assincrona_ano,2019,2019,JANEIRO,DEZEMBRO,21.664754152297974,21.664754152297974,0.0,63,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:45:37.636916,/consultar,consulta_assincrona_ano,2020,2020,JANEIRO,DEZEMBRO,21.297476768493652,21.297476768493652,0.0,57,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:46:00.024280,/consultar,consulta_assincrona_ano,2021,2021,JANEIRO,DEZEMBRO,22.38374137878418,22.38374137878418,0.0,63,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:46:20.552455,/consultar,consulta_assincrona_ano,2022,2022,JANEIRO,DEZEMBRO,20.52381134033203,20.52381134033203,0.0,53,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:46:41.234242,/consultar,consulta_assincrona_ano,2023,2023,JANEIRO,DEZEMBRO,20.67816710472107,20.67816710472107,0.0,53,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:46:41.239035,/consultar,consulta_assincrona_final,2004,2023,JANEIRO,DEZEMBRO,446.7941927909851,446.7242343425751,0.0,1524,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,Thread-144 (_executar_consulta_sequencial),Selenium
2025-07-08T21:46:45.874298,/consultar,consulta_assincrona_inicio,2004,2023,JANEIRO,DEZEMBRO,0.0018846988677978516,0.0,0.0,0,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,MainThread,Selenium
2025-07-08T21:47:07.558628,/consultar,consulta_assincrona_ano,2004,2004,JANEIRO,DEZEMBRO,21.679970026016235,21.679970026016235,0.0,84,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:47:28.185027,/consultar,consulta_assincrona_ano,2005,2005,JANEIRO,DEZEMBRO,20.62269163131714,20.62269163131714,0.0,89,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:47:50.613240,/consultar,consulta_assincrona_ano,2006,2006,JANEIRO,DEZEMBRO,22.423664331436157,22.423664331436157,0.0,79,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:48:13.672727,/consultar,consulta_assincrona_ano,2007,2007,JANEIRO,DEZEMBRO,23.05652952194214,23.05652952194214,0.0,73,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:48:34.982262,/consultar,consulta_assincrona_ano,2008,2008,JANEIRO,DEZEMBRO,21.305635690689087,21.305635690689087,0.0,82,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:48:58.033764,/consultar,consulta_assincrona_ano,2009,2009,JANEIRO,DEZEMBRO,23.048561334609985,23.048561334609985,0.0,83,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:49:19.975637,/consultar,consulta_assincrona_ano,2010,2010,JANEIRO,DEZEMBRO,21.93828558921814,21.93828558921814,0.0,78,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:49:43.255697,/consultar,consulta_assincrona_ano,2011,2011,JANEIRO,DEZEMBRO,23.2770357131958,23.2770357131958,0.0,79,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:50:04.554730,/consultar,consulta_assincrona_ano,2012,2012,JANEIRO,DEZEMBRO,21.29543423652649,21.29543423652649,0.0,92,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:50:27.114824,/consultar,consulta_assincrona_ano,2013,2013,JANEIRO,DEZEMBRO,22.556515216827393,22.556515216827393,0.0,103,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:50:50.089381,/consultar,consulta_assincrona_ano,2014,2014,JANEIRO,DEZEMBRO,22.97100067138672,22.97100067138672,0.0,99,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:51:11.589977,/consultar,consulta_assincrona_ano,2015,2015,JANEIRO,DEZEMBRO,21.497470378875732,21.497470378875732,0.0,89,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:51:33.016409,/consultar,consulta_assincrona_ano,2016,2016,JANEIRO,DEZEMBRO,21.422118425369263,21.422118425369263,0.0,70,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
2025-07-08T21:51:54.696844,/consultar,consulta_assincrona_ano,2017,2017,JANEIRO,DEZEMBRO,21.676533460617065,21.676533460617065,0.0,68,True,,ce25fb23-11d1-4169-a13a-4ad2908e70b0,Thread-185 (_executar_consulta_sequencial),Selenium
